bandwidth,n_samples,seed,type,family,moment,ess,time,initialization
0.001953125,100000,1,"rate = 0.3, inform",BatchMean,2,10977.722288049126,0.000354625,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"rate = 0.3, uninf",BatchMean,2,3165.098452905211,0.000374042,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"rate = 0.5, inform",BatchMean,2,1112.1694449384086,0.000287917,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"rate = 0.5, uninf",BatchMean,2,318.14460719118165,0.000358875,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"rate = 0.7, inform",BatchMean,2,112.80712751173111,0.000581416,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"rate = 0.7, uninf",BatchMean,2,33.687599803949105,0.000347667,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"maxlag = default(250), fft=true",Spectral,2,201.91379345573,0.007690958,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"maxlag = Inf, fft=true",Spectral,2,1.493343085099373,0.034179666,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"maxlag = default(250), fft=false",Spectral,2,201.9137934557301,0.024980709,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"maxlag = Inf, fft=false",Spectral,2,1.493343085099373,2.2067545,"Normal{Float64}(μ=0.0, σ=0.1)"
0.001953125,100000,1,"rate = 0.3, inform",BatchMean,2,8521.142629557859,0.000291459,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"rate = 0.3, uninf",BatchMean,2,3127.6012487382854,0.000357625,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"rate = 0.5, inform",BatchMean,2,852.4026128441291,0.000298292,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"rate = 0.5, uninf",BatchMean,2,320.80952350321905,0.000353459,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"rate = 0.7, inform",BatchMean,2,86.15250983917562,0.000293917,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"rate = 0.7, uninf",BatchMean,2,37.22890968411204,0.000366083,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"maxlag = default(250), fft=true",Spectral,2,203.71874464911426,0.011885833,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"maxlag = Inf, fft=true",Spectral,2,7.499059215694385,0.019307334,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"maxlag = default(250), fft=false",Spectral,2,203.71874464911426,0.021759167,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"maxlag = Inf, fft=false",Spectral,2,7.499059215694387,1.150737084,"Normal{Float64}(μ=0.0, σ=1.0)"
0.001953125,100000,1,"rate = 0.3, inform",BatchMean,2,4.591911333899096,0.000316,"Normal{Float64}(μ=0.0, σ=5.0)"
0.001953125,100000,1,"rate = 0.3, uninf",BatchMean,2,3340.8761336064563,0.000835292,"Normal{Float64}(μ=0.0, σ=5.0)"
0.001953125,100000,1,"rate = 0.5, inform",BatchMean,2,0.46440833410243715,0.000278167,"Normal{Float64}(μ=0.0, σ=5.0)"
